Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:36:01.653,114416.0,0.933,BTCUSDT
2025-09-30 01:36:01.655,114416.0,0.544,BTCUSDT
2025-09-30 01:36:01.658,114416.0,0.009,BTCUSDT
2025-09-30 01:36:01.667,114416.0,0.514,BTCUSDT
2025-09-30 01:36:01.667,114416.0,0.004,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.05,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.07,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.07,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.006,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.046,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.064,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.135,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.003,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.07,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114416.0,0.001,BTCUSDT
2025-09-30 01:36:01.675,114415.4,0.066,BTCUSDT
2025-09-30 01:36:01.689,114416.0,0.02,BTCUSDT
2025-09-30 01:36:01.690,114416.0,0.05,BTCUSDT
2025-09-30 01:36:01.690,114416.0,0.07,BTCUSDT
2025-09-30 01:36:01.690,114416.0,0.015,BTCUSDT
2025-09-30 01:36:01.690,114416.0,0.055,BTCUSDT
2025-09-30 01:36:01.690,114415.9,0.002,BTCUSDT
2025-09-30 01:36:01.690,114415.2,0.001,BTCUSDT
2025-09-30 01:36:01.690,114415.0,0.004,BTCUSDT
2025-09-30 01:36:01.690,114415.0,0.589,BTCUSDT
2025-09-30 01:36:01.690,114415.0,0.027,BTCUSDT
2025-09-30 01:36:01.691,114415.0,0.166,BTCUSDT
2025-09-30 01:36:01.692,114415.0,0.166,BTCUSDT
2025-09-30 01:36:01.735,114415.1,0.001,BTCUSDT
2025-09-30 01:36:01.836,114415.1,0.004,BTCUSDT
2025-09-30 01:36:01.836,114415.1,0.039,BTCUSDT
2025-09-30 01:36:02.019,114415.0,0.001,BTCUSDT
2025-09-30 01:36:02.019,114415.0,0.001,BTCUSDT
2025-09-30 01:36:02.019,114415.0,0.001,BTCUSDT
2025-09-30 01:36:02.019,114415.0,0.001,BTCUSDT
2025-09-30 01:36:02.019,114415.0,0.03,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.034,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.064,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.064,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.064,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.064,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.064,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.003,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.002,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.001,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.149,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.006,BTCUSDT
2025-09-30 01:36:02.052,114415.0,0.001,BTCUSDT
2025-09-30 01:36:02.052,114414.9,0.001,BTCUSDT
2025-09-30 01:36:02.052,114414.9,0.002,BTCUSDT
2025-09-30 01:36:02.052,114414.9,0.001,BTCUSDT
2025-09-30 01:36:02.052,114414.9,0.001,BTCUSDT
2025-09-30 01:36:02.052,114414.9,0.042,BTCUSDT
2025-09-30 01:36:02.052,114414.8,3.314,BTCUSDT
2025-09-30 01:36:02.052,114414.8,0.002,BTCUSDT
2025-09-30 01:36:02.052,114414.7,0.002,BTCUSDT
2025-09-30 01:36:02.052,114414.6,0.027,BTCUSDT
2025-09-30 01:36:02.052,114414.5,0.001,BTCUSDT
2025-09-30 01:36:02.052,114414.5,0.007,BTCUSDT
2025-09-30 01:36:02.052,114414.5,0.003,BTCUSDT
2025-09-30 01:36:02.052,114414.3,0.033,BTCUSDT
2025-09-30 01:36:02.052,114414.2,0.002,BTCUSDT
2025-09-30 01:36:02.052,114414.2,0.002,BTCUSDT
2025-09-30 01:36:02.052,114413.9,0.001,BTCUSDT
2025-09-30 01:36:02.052,114413.2,0.001,BTCUSDT
2025-09-30 01:36:02.052,114413.1,0.002,BTCUSDT
2025-09-30 01:36:02.052,114412.7,0.002,BTCUSDT
2025-09-30 01:36:02.052,114412.2,0.001,BTCUSDT
2025-09-30 01:36:02.052,114412.2,0.001,BTCUSDT
2025-09-30 01:36:02.052,114412.2,0.013,BTCUSDT
2025-09-30 01:36:02.052,114411.7,0.002,BTCUSDT
2025-09-30 01:36:02.052,114411.3,0.002,BTCUSDT
2025-09-30 01:36:02.052,114411.1,0.017,BTCUSDT
2025-09-30 01:36:02.052,114411.0,0.002,BTCUSDT
2025-09-30 01:36:02.052,114410.9,0.005,BTCUSDT
2025-09-30 01:36:02.052,114410.8,0.001,BTCUSDT
2025-09-30 01:36:02.052,114410.7,0.002,BTCUSDT
2025-09-30 01:36:02.052,114410.5,0.001,BTCUSDT
2025-09-30 01:36:02.052,114410.4,0.002,BTCUSDT
2025-09-30 01:36:02.052,114410.4,0.002,BTCUSDT
2025-09-30 01:36:02.052,114410.4,0.066,BTCUSDT
2025-09-30 01:36:02.052,114410.1,0.002,BTCUSDT
2025-09-30 01:36:02.052,114410.0,0.001,BTCUSDT
2025-09-30 01:36:02.052,114410.0,0.002,BTCUSDT
2025-09-30 01:36:02.052,114409.8,0.001,BTCUSDT
2025-09-30 01:36:02.052,114409.8,0.002,BTCUSDT
2025-09-30 01:36:02.052,114409.5,0.001,BTCUSDT
2025-09-30 01:36:02.052,114409.3,0.001,BTCUSDT
2025-09-30 01:36:02.052,114409.3,0.06,BTCUSDT
2025-09-30 01:36:02.052,114409.3,0.969,BTCUSDT
2025-09-30 01:36:02.052,114409.2,0.002,BTCUSDT
2025-09-30 01:36:02.052,114409.1,0.002,BTCUSDT
2025-09-30 01:36:02.052,114409.1,0.068,BTCUSDT
2025-09-30 01:36:02.052,114409.0,0.005,BTCUSDT
2025-09-30 01:36:02.052,114408.8,0.001,BTCUSDT
2025-09-30 01:36:02.052,114408.5,0.002,BTCUSDT
2025-09-30 01:36:02.052,114408.5,0.025,BTCUSDT
2025-09-30 01:36:02.052,114408.4,0.002,BTCUSDT
2025-09-30 01:36:02.052,114408.1,0.001,BTCUSDT
2025-09-30 01:36:02.052,114407.7,0.002,BTCUSDT
2025-09-30 01:36:02.053,114407.7,0.001,BTCUSDT
2025-09-30 01:36:02.053,114407.5,0.001,BTCUSDT
2025-09-30 01:36:02.053,114407.5,0.003,BTCUSDT
2025-09-30 01:36:02.053,114407.3,0.002,BTCUSDT
2025-09-30 01:36:02.053,114407.1,0.001,BTCUSDT
2025-09-30 01:36:02.053,114406.9,0.001,BTCUSDT
2025-09-30 01:36:02.053,114406.8,0.065,BTCUSDT
2025-09-30 01:36:02.053,114406.8,0.003,BTCUSDT
2025-09-30 01:36:02.053,114406.8,0.003,BTCUSDT
2025-09-30 01:36:02.053,114406.6,0.002,BTCUSDT
2025-09-30 01:36:02.053,114406.4,0.001,BTCUSDT
2025-09-30 01:36:02.053,114406.3,0.006,BTCUSDT
2025-09-30 01:36:02.053,114406.3,0.001,BTCUSDT
2025-09-30 01:36:02.053,114406.2,0.002,BTCUSDT
2025-09-30 01:36:02.053,114406.1,0.007,BTCUSDT
2025-09-30 01:36:02.053,114406.1,0.029,BTCUSDT
2025-09-30 01:36:02.053,114406.1,0.012,BTCUSDT
2025-09-30 01:36:02.053,114406.0,0.009,BTCUSDT
2025-09-30 01:36:02.053,114405.6,0.002,BTCUSDT
2025-09-30 01:36:02.053,114405.4,0.001,BTCUSDT
2025-09-30 01:36:02.053,114405.3,0.002,BTCUSDT
2025-09-30 01:36:02.053,114405.1,0.002,BTCUSDT
2025-09-30 01:36:02.053,114405.1,0.002,BTCUSDT
2025-09-30 01:36:02.053,114405.0,0.002,BTCUSDT
2025-09-30 01:36:02.053,114405.0,0.001,BTCUSDT
